Emotion,Red,Orange,Yellow,Green,Blue,Purple,Brown,White,Grey,Black,None
anger,0.0480331132610945,0.09800747909208934,0.03795113154208494,0.0031633635709285178,0.005192916983970604,0.011344259490325087,0.039410774854699605,0.1577482903957424,0.28524164502678484,0.16028231109807642,0.153624714684204
trust,0.007250361033490281,0.10672461367595222,0.07729419692386018,0.0012562933976260533,0.04728317581104882,0.016877845609010858,0.04408577128700092,0.2113007190481344,0.21452211803775253,0.12602650816963157,0.14737839700649225
fear,0.00561074516069141,0.03524524704371164,0.038735520832131526,0.002349526045804442,0.0035073562104601043,0.015008155686824351,0.013994621060130184,0.09741582629300198,0.44399644349909934,0.22176093618350323,0.1223756219846421
surprise,0.02623847894549446,0.10804252192178317,0.09115338071513855,0.013292017828635297,0.06159932413802299,0.044886225170863124,0.04168742446556799,0.3084981923531212,0.13719206424482142,0.053158518811919804,0.11425185140463186
joy,0.027299098600719312,0.10543453836258808,0.15586810441141932,0.005669541461385962,0.09608259063945672,0.031080750405510674,0.0513482236660476,0.13671707048204343,0.09786363700921392,0.08148524169872692,0.21115120326288817
disgust,0.006083767603183406,0.10406440019020446,0.036392700954300736,0.03604533896596664,0.008250880309114188,0.02043883145227139,0.06042763919861944,0.19953532874620505,0.23481952009131873,0.06953106058524912,0.2244105319035671
anticipation,0.020777856090446585,0.0752483251584522,0.04972943748025551,0.009802578567249845,0.03392355825410113,0.011993213362325785,0.03334781818884498,0.2088040612486853,0.3052572660519818,0.09005108185739108,0.1610648037402661
sadness,0.0022894650909969965,0.025268295205129413,0.0362848144396,0.00031833642266829935,0.09473020659815473,0.01659665446500457,0.012240864854443898,0.08083607907732272,0.3976048172823809,0.19278495558156508,0.14104551098273319
